id,person,role,organization,expert_type,stance_category,prediction_type,prediction_year_min,prediction_year_max,prediction_midpoint,claim_summary,quote_excerpt,source_name,source_date,source_url,source_quality,verified_level,include_in_average,notes
sam-altman-2025-reflections-agi,Sam Altman,CEO,OpenAI,AI lab CEO,optimist,AGI,2025,2025,2025,OpenAI is confident it knows how to build AGI as traditionally understood; AI agents may join the workforce in 2025.,We are now confident we know how to build AGI as we have traditionally understood it.,"Sam Altman blog, Reflections",2025-01-06,https://blog.samaltman.com/reflections,primary,high,True,Altman also clarified OpenAI had not built or was not deploying AGI immediately.
sam-altman-2025-agents-workforce,Sam Altman,CEO,OpenAI,AI lab CEO,optimist,AI agents / workforce,2025,2025,2025,First AI agents may enter the workforce in 2025 and materially change company output.,"in 2025, we may see the first AI agents join the workforce","Sam Altman blog, Reflections",2025-01-06,https://blog.samaltman.com/reflections,primary,high,False,"Useful for timeline dashboard, but not strict AGI."
sam-altman-2025-not-built-agi,Sam Altman,CEO,OpenAI,AI lab CEO,clarification,AGI not yet built,,,,Altman clarified that OpenAI had not built AGI and was not deploying AGI imminently.,"We are not gonna deploy AGI next month, nor have we built it.",Moneycontrol report on Altman clarification,2025-01-21,https://www.moneycontrol.com/technology/openai-has-not-built-agi-yet-sam-altman-clarifies-article-12915753.html,secondary quoting social post,medium,False,Good counterbalance to headlines saying AGI arrived in 2025.
sam-altman-2025-superintelligence-2030,Sam Altman,CEO,OpenAI,AI lab CEO,optimist,Superintelligence,2030,2030,2030,"Altman reportedly predicted superintelligent AI, smarter than humans across the board, by 2030, with major breakthroughs by 2026.",,"Business Insider, Altman interview summary",2025-09-01,https://www.businessinsider.com/sam-altman-predicts-ai-agi-surpass-human-intelligence-2030-2025-9,secondary interview report,medium,True,Need original Welt interview transcript for primary verification.
openai-roadmap-ai-research-intern-2026,Sam Altman / OpenAI,CEO / company roadmap,OpenAI,AI lab,optimist,AI research assistant,2026,2026,2026,OpenAI roadmap reportedly targets AI research-intern-like capabilities by 2026.,,TechRadar roadmap report,2025-10-01,https://www.techradar.com/ai-platforms-assistants/chatgpt/openai-roadmap-revealed-ai-research-interns-by-2026-full-blown-agi-researchers-by-2028,secondary,medium,False,"Not AGI, but dashboard-relevant milestone."
openai-roadmap-ai-researcher-2028,Sam Altman / OpenAI,CEO / company roadmap,OpenAI,AI lab,optimist,Autonomous AI researcher,2028,2028,2028,OpenAI reportedly aims for an autonomous AI researcher by March 2028.,,TechRadar roadmap report,2025-10-01,https://www.techradar.com/ai-platforms-assistants/chatgpt/openai-roadmap-revealed-ai-research-interns-by-2026-full-blown-agi-researchers-by-2028,secondary,medium,False,"Not necessarily full AGI, but a strong AI capability milestone."
dario-amodei-2025-ostp-powerful-ai,Dario Amodei,CEO,Anthropic,AI lab CEO,safety-aware optimist,Powerful AI,2026,2027,2026.5,Anthropic expects powerful AI systems with Nobel-level intellectual capability across most disciplines in late 2026 or early 2027.,powerful AI systems will emerge in late 2026 or early 2027,Anthropic recommendations to OSTP,2025-03-06,https://www.anthropic.com/news/anthropic-s-recommendations-ostp-u-s-ai-action-plan,primary/company statement,high,True,"Amodei prefers 'powerful AI' framing, not always AGI."
dario-amodei-2025-almost-all-humans,Dario Amodei,CEO,Anthropic,AI lab CEO,safety-aware optimist,AI surpassing humans,2027,2028,2027.5,Amodei said AI could surpass almost all humans at almost everything shortly after 2027.,,Ars Technica report,2025-01-01,https://arstechnica.com/ai/2025/01/anthropic-chief-says-ai-could-surpass-almost-all-humans-at-almost-everything-shortly-after-2027/,secondary,medium,True,Get original interview if you want exact wording.
demis-hassabis-2025-human-level-ai-5-10,Demis Hassabis,CEO,Google DeepMind,AI lab CEO,moderate optimist,Human-level AI,2030,2035,2032.5,Hassabis said human-level AI could be here in five to ten years from 2025.,,CNBC,2025-03-17,https://www.cnbc.com/2025/03/17/human-level-ai-will-be-here-in-5-to-10-years-deepmind-ceo-says.html,secondary interview report,medium,True,Useful as a moderate frontier-lab prediction.
demis-hassabis-google-2030-axios,Demis Hassabis,CEO,Google DeepMind,AI lab CEO,moderate optimist,AGI,2030,2030,2030,"Google leaders, including Hassabis, suggested AGI could emerge around 2030.",,Axios,2025-05-21,https://www.axios.com/2025/05/21/google-sergey-brin-demis-hassabis-agi-2030,secondary event report,medium,True,Potentially overlaps with 5-10 year claim.
sergey-brin-google-2030-axios,Sergey Brin,Co-founder,Google,Big Tech founder,moderate optimist,AGI,2030,2030,2030,Brin joined Google leadership discussion suggesting AGI could arrive around 2030.,,Axios,2025-05-21,https://www.axios.com/2025/05/21/google-sergey-brin-demis-hassabis-agi-2030,secondary event report,medium,True,Find exact I/O transcript for quote.
jensen-huang-2024-five-years-reuters,Jensen Huang,CEO,Nvidia,Big Tech CEO / infrastructure,optimist,AGI by test-passing definition,2029,2029,2029,"Huang said AI could pass broad human tests within five years, depending on AGI definition.",,Reuters,2024-03-01,https://www.reuters.com/technology/nvidia-ceo-says-ai-could-pass-human-tests-five-years-2024-03-01/,news report,high,True,"Definition-dependent: passing human tests, not necessarily autonomous agency."
jensen-huang-2023-five-years-cnbc,Jensen Huang,CEO,Nvidia,Big Tech CEO / infrastructure,optimist,Human-competitive AI,2028,2028,2028,Huang said AI would be fairly competitive with humans within five years.,,CNBC DealBook coverage,2023-11-29,https://www.cnbc.com/2023/11/29/nvidia-ceo-ai-will-be-fairly-competitive-with-humans-in-5-years.html,news report,medium,True,Not strict AGI; useful as human-competitive forecast.
elon-musk-2024-smarter-than-smartest-human,Elon Musk,CEO / founder,xAI / Tesla / SpaceX,Founder / AI company leader,aggressive optimist,Superhuman AI,2025,2026,2025.5,Musk predicted AI would be smarter than the smartest human by next year or by 2026.,,Reuters,2024-04-08,https://www.reuters.com/technology/teslas-musk-predicts-ai-will-be-smarter-than-smartest-human-next-year-2024-04-08/,news report,high,True,Aggressive forecast; not always framed as AGI.
elon-musk-2024-any-one-human-guardian,Elon Musk,CEO / founder,xAI / Tesla / SpaceX,Founder / AI company leader,aggressive optimist,Superhuman AI,2025,2025,2025,Musk guessed AI smarter than any one human could exist around end of the next year from April 2024.,smarter than any one human probably around the end of next year,The Guardian,2024-04-09,https://www.theguardian.com/technology/2024/apr/09/elon-musk-predicts-superhuman-ai-will-be-smarter-than-people-next-year,news report quoting interview,high,True,"Treat as superhuman single-human forecast, not full labor automation."
ray-kurzweil-2029-human-level-ai,Ray Kurzweil,Futurist / inventor,Google / author,Futurist,longtime optimist,Human-level AI / AGI,2029,2029,2029,Kurzweil has long predicted human-level AI by 2029.,,The Deep View summary of Kurzweil 2029 prediction,2026-01-01,https://www.thedeepview.com/articles/why-kurzweil-still-sees-agi-coming-by-2029,secondary,medium,True,Use The Singularity Is Nearer for primary book citation.
ray-kurzweil-2045-singularity,Ray Kurzweil,Futurist / inventor,Google / author,Futurist,longtime optimist,Singularity / ASI,2045,2045,2045,Kurzweil forecasts the Singularity around 2045.,,Kurzweil public timeline / Singularity Is Nearer summaries,2024-01-01,https://www.thedeepview.com/articles/why-kurzweil-still-sees-agi-coming-by-2029,secondary,medium,False,Separate from AGI/human-level AI.
ben-goertzel-2026-two-three-years,Ben Goertzel,AGI researcher / CEO,SingularityNET,AGI researcher,optimist,Human-level AI,2028,2029,2028.5,Goertzel said human-level AI is likely two to three years away from April 2026.,,Times of India,2026-04-18,https://timesofindia.indiatimes.com/technology/tech-news/father-of-agi-ben-goertzel-says-human-level-ai-2-3-years-away-warns-once-you-have-a/articleshow/130350964.cms,news report,medium,True,Good optimist data point; get original interview if possible.
shane-legg-2028-minimal-agi,Shane Legg,Co-founder / Chief AGI Scientist,Google DeepMind,AI lab founder / researcher,moderate optimist,Minimal AGI,2028,2028,2028,Legg has maintained a roughly 50% chance of minimal AGI by 2028.,,AI Tech Suite summary,2025-12-14,https://www.aitechsuite.com/ai-news/deepmind-co-founder-predicts-50-chance-of-human-like-agi-by-2028,secondary,medium,True,Need primary interview/source for publication-grade quote.
mustafa-suleyman-2026-professional-tasks-18-months,Mustafa Suleyman,"CEO, Microsoft AI",Microsoft AI,AI lab / Big Tech leader,capability optimist,Human-level professional tasks,2027,2028,2027.5,Suleyman predicted human-level performance on most professional tasks within 12 to 18 months from February 2026.,"human-level performance on most, if not all, professional tasks",Tom's Hardware summary of FT interview,2026-02-13,https://www.tomshardware.com/tech-industry/artificial-intelligence/microsofts-ai-boss-says-ai-can-replace-every-white-collar-job-in-18-months-were-going-to-have-a-human-level-performance-on-most-if-not-all-professional-tasks,secondary quoting FT interview,medium,False,"Capability/work automation prediction, not strict AGI."
yann-lecun-2025-no-general-intelligence,Yann LeCun,Chief AI Scientist,Meta,AI pioneer / researcher,skeptic / architecture critic,Rejects AGI framing,,,,LeCun argues the concept of general intelligence is poorly framed and that current LLMs are not the path to human-level intelligence.,There is no such thing as general intelligence.,Nevo synthesis quoting LeCun position,2026-03-01,https://nevo.systems/blogs/nevo-journal/agi-timeline-predictions,secondary synthesis,low,False,Use as 'definition dispute' row; needs primary X/interview source.
yann-lecun-architecture-5-10-years,Yann LeCun,Chief AI Scientist,Meta,AI pioneer / researcher,skeptic / architecture critic,Human-level AI with architecture change,2031,2036,2033.5,LeCun is summarized as estimating human-level AI could arrive in 5-10 years if architecture changes.,,Nevo synthesis,2026-03-01,https://nevo.systems/blogs/nevo-journal/agi-timeline-predictions,secondary synthesis,low,True,Needs primary verification before using in a serious published dashboard.
gary-marcus-2024-decade-away,Gary Marcus,AI critic / professor emeritus,NYU,Skeptic / cognitive scientist,skeptic,Solving AI / AGI,2034,,2034,Marcus said we are at least a decade away from solving AI.,,CNBC video segment,2024-05-20,https://www.cnbc.com/video/2024/05/20/were-at-least-a-decade-away-from-solving-ai-says-nyu-professor-gary-marcus.html,video/interview,medium,True,Use as lower-bound >=2034; midpoint is conservative placeholder.
geoffrey-hinton-2025-superintelligence-within-10-years,Geoffrey Hinton,Professor emeritus / Turing Award winner,University of Toronto / former Google,AI pioneer / safety concern,concerned optimist about capability,Superintelligent AI,2035,2035,2035,Hinton suggested dangerous or superintelligent AI could arrive within about 10 years from 2025.,,Business Insider summary of CBS interview,2025-04-01,https://www.businessinsider.com/ai-godfather-geoffrey-hinton-superintelligence-risk-takeover-2025-4,secondary interview report,medium,True,Risk/capability forecast; exact transcript needed.
yoshua-bengio-2026-safety-report-no-date,Yoshua Bengio,Professor / Turing Award winner,Mila / International AI Safety Report chair,AI pioneer / safety researcher,caution / safety,No explicit AGI date,,,,Bengio-chaired AI safety work emphasizes rapid capability growth and risks but does not offer a clean AGI date.,,The Guardian on 2026 International AI Safety Report,2026-02-03,https://www.theguardian.com/technology/2026/feb/03/deepfakes-ai-companions-artificial-intelligence-safety-report,news report on report,medium,False,Include as safety/ethics context rather than date prediction.
roman-yampolskiy-2030-job-loss,Roman Yampolskiy,AI safety researcher,University of Louisville,AI safety / critic,catastrophic risk warning,Automation impact,2030,2030,2030,Yampolskiy warned of potential massive job loss by 2030 from AI surpassing humans across fields.,,Windows Central interview summary,2025-09-01,https://www.windowscentral.com/artificial-intelligence/ai-expert-warns-99-percent-job-loss-by-2030,secondary interview report,medium,False,"Job automation/risk prediction, not strict AGI."
daniel-kokotajlo-ai-2027-original,Daniel Kokotajlo,AI safety researcher / forecaster,AI 2027 project / former OpenAI,Forecaster / AI safety,fast-takeoff risk,Autonomous coding / AI acceleration,2027,2027,2027,Kokotajlo's AI 2027 scenario placed fully autonomous coding around 2027.,,The Guardian summary of AI 2027 scenario,2026-01-06,https://www.theguardian.com/technology/2026/jan/06/leading-ai-expert-delays-timeline-possible-destruction-humanity,secondary,medium,False,"Scenario forecast, not direct AGI date."
daniel-kokotajlo-2034-revision,Daniel Kokotajlo,AI safety researcher / forecaster,AI 2027 project / former OpenAI,Forecaster / AI safety,revised slower,Superintelligence,2034,2034,2034,Kokotajlo and team reportedly shifted superintelligence timeline toward 2034 in an update.,,The Guardian,2026-01-06,https://www.theguardian.com/technology/2026/jan/06/leading-ai-expert-delays-timeline-possible-destruction-humanity,secondary,medium,True,Track revision history as valuable dashboard feature.
ai-impacts-2023-hlmi-2047,AI researchers survey aggregate,"2,778 surveyed AI researchers",AI Impacts / ESPAI 2023,Aggregate expert survey,aggregate,HLMI,2047,2047,2047,The 2023 Expert Survey on Progress in AI gave a 50% aggregate forecast for HLMI by 2047.,,AI Impacts 2023 Expert Survey on Progress in AI,2024-01-29,https://wiki.aiimpacts.org/ai_timelines/predictions_of_human-level_ai_timelines/ai_timeline_surveys/2023_expert_survey_on_progress_in_ai,survey / primary analysis,high,True,"Aggregate, not an individual quote. Definition: machines can do every task better and cheaper than humans."
ai-impacts-2023-hlmi-10pct-2027,AI researchers survey aggregate,"2,778 surveyed AI researchers",AI Impacts / ESPAI 2023,Aggregate expert survey,aggregate,HLMI 10% probability,2027,2027,2027,The survey implied a 10% chance of HLMI by 2027.,,Time summary of AI Impacts survey,2024-01-19,https://time.com/6556168/when-ai-outsmart-humans/,news summary of survey,medium,False,"Probability point, not median."
ai-impacts-2023-faol-2116,AI researchers survey aggregate,Survey aggregate,AI Impacts / ESPAI 2023,Aggregate expert survey,aggregate / slower,Full automation of labor,2116,2116,2116,The 2023 survey aggregate forecast gave a 50% chance of full automation of labor by 2116.,,AI Impacts 2023 Expert Survey on Progress in AI,2024-01-29,https://wiki.aiimpacts.org/ai_timelines/predictions_of_human-level_ai_timelines/ai_timeline_surveys/2023_expert_survey_on_progress_in_ai,survey / primary analysis,high,False,Much stricter than AGI/HLMI; avoid mixing into AGI average.
metaculus-first-general-ai-2027-11,Metaculus community,Forecasting community,Metaculus,Prediction market / forecasting community,aggregate forecast,First general AI announced,2027,2028,2027.9,"Metaculus aggregate reported median around late 2027 / early 2028 for first general AI announcement, depending on snapshot.",,Longterm Wiki snapshot / Metaculus aggregate,2026-01-01,https://www.longtermwiki.com/wiki/agi-timeline,secondary aggregation of forecasting market,low,True,Use direct Metaculus export/API for production.
